game,second,livetime,ingame,quarter,atdef,pospoints,negpoints,difference
4,2,1,BLJ,1Q,AT,0,0,0
4,3,2,BLJ,1Q,AT,0,0,0
4,4,3,BLJ,1Q,AT,0,0,0
4,5,4,BLJ,1Q,AT,0,0,0
4,6,5,BLJ,1Q,AT,0,0,0
4,7,6,BLJ,1Q,AT,0,0,0
4,8,7,BLJ,1Q,AT,0,0,0
4,9,8,BLJ,1Q,AT,0,0,0
4,10,9,BLJ,1Q,AT,0,0,0
4,11,10,BLJ,1Q,AT,0,0,0
4,12,11,BLJ,1Q,AT,0,0,0
4,13,12,BLJ,1Q,AT,0,0,0
4,14,13,BLJ,1Q,AT,0,0,0
4,15,,JP,1Q,,0,0,0
4,16,,JP,1Q,,0,0,0
4,17,,JP,1Q,,0,0,0
4,18,,JP,1Q,,0,0,0
4,19,,JP,1Q,,0,0,0
4,20,,JP,1Q,,0,0,0
4,21,,JP,1Q,,0,0,0
4,22,14,BLJ,1Q,DEF,0,0,0
4,23,15,BLJ,1Q,DEF,0,0,0
4,24,16,BLJ,1Q,DEF,0,0,0
4,25,17,BLJ,1Q,DEF,0,0,0
4,26,18,BLJ,1Q,DEF,0,0,0
4,27,19,BLJ,1Q,DEF,0,0,0
4,28,20,BLJ,1Q,DEF,0,0,0
4,29,21,BLJ,1Q,DEF,0,0,0
4,30,22,BLJ,1Q,DEF,0,0,0
4,31,23,BLJ,1Q,DEF,0,0,0
4,32,24,BLJ,1Q,DEF,0,0,0
4,33,25,BLJ,1Q,DEF,0,0,0
4,34,26,BLJ,1Q,DEF,0,0,0
4,35,27,BLJ,1Q,DEF,0,0,0
4,36,28,BLJ,1Q,DEF,0,3,-3
4,37,29,BLJ,1Q,,0,3,-3
4,38,30,BLJ,1Q,AT,0,3,-3
4,39,31,BLJ,1Q,AT,0,3,-3
4,40,32,BLJ,1Q,AT,0,3,-3
4,41,33,BLJ,1Q,AT,0,3,-3
4,42,34,BLJ,1Q,AT,0,3,-3
4,43,35,BLJ,1Q,AT,0,3,-3
4,44,,JP,1Q,,0,3,-3
4,45,,JP,1Q,,0,3,-3
4,46,,JP,1Q,,0,3,-3
4,47,,JP,1Q,,0,3,-3
4,48,36,BLJ,1Q,DEF,0,3,-3
4,49,37,BLJ,1Q,DEF,0,3,-3
4,50,38,BLJ,1Q,DEF,0,3,-3
4,51,39,BLJ,1Q,DEF,0,3,-3
4,52,40,BLJ,1Q,DEF,0,3,-3
4,53,41,BLJ,1Q,DEF,0,3,-3
4,54,42,BLJ,1Q,DEF,0,3,-3
4,55,43,BLJ,1Q,DEF,0,3,-3
4,56,44,BLJ,1Q,DEF,0,3,-3
4,57,45,BLJ,1Q,DEF,0,3,-3
4,58,46,BLJ,1Q,DEF,0,3,-3
4,59,47,BLJ,1Q,DEF,0,3,-3
4,60,48,BLJ,1Q,DEF,0,3,-3
4,61,49,BLJ,1Q,DEF,0,3,-3
4,62,50,BLJ,1Q,DEF,0,3,-3
4,63,51,BLJ,1Q,DEF,0,3,-3
4,64,52,BLJ,1Q,DEF,0,3,-3
4,65,53,BLJ,1Q,DEF,0,5,-5
4,66,54,BLJ,1Q,,0,5,-5
4,67,55,BLJ,1Q,,0,5,-5
4,68,56,BLJ,1Q,AT,0,5,-5
4,69,57,BLJ,1Q,AT,0,5,-5
4,70,58,BLJ,1Q,AT,0,5,-5
4,71,59,BLJ,1Q,AT,0,5,-5
4,72,60,BLJ,1Q,AT,0,5,-5
4,73,61,BLJ,1Q,AT,0,5,-5
4,74,62,BLJ,1Q,AT,0,5,-5
4,75,63,BLJ,1Q,AT,0,5,-5
4,76,64,BLJ,1Q,AT,0,5,-5
4,77,65,BLJ,1Q,AT,0,5,-5
4,78,,JP,1Q,,0,5,-5
4,79,,JP,1Q,,0,5,-5
4,80,,JP,1Q,,0,5,-5
4,81,,JP,1Q,,0,5,-5
4,82,,JP,1Q,,0,5,-5
4,83,,JP,1Q,,0,5,-5
4,84,,JP,1Q,,0,5,-5
