second,fc
1,103
2,103
3,103
4,103
5,103
6,103
7,103
8,103
9,103
10,103
11,104
12,104
13,104
14,105
15,105
16,105
17,105
18,105
19,106
20,106
21,106
22,106
23,105
24,106
25,106
26,106
27,107
28,107
29,107
30,107
31,106
32,106
33,105
34,105
35,105
36,106
37,107
38,107
39,107
40,108
41,107
42,106
43,106
44,105
45,105
46,105
47,105
48,106
49,108
50,110
51,111
52,111
53,111
54,111
55,111
56,111
57,111
58,110
59,110
60,110
61,109
62,109
63,109
64,109
65,109
66,109
67,109
68,109
69,109
70,110
71,110
72,110
73,110
74,110
75,110
76,110
77,110
78,110
79,111
80,111
81,111
82,110
83,110
84,110
85,111
86,111
87,111
88,111
89,111
90,111
91,111
92,111
93,111
94,111
95,111
96,112
97,113
98,114
99,115
100,115
101,115
102,115
103,115
104,115
105,114
106,114
107,114
108,114
109,115
110,116
111,117
112,118
113,118
114,118
115,117
116,117
117,116
118,115
119,115
120,115
121,114
122,114
123,114
124,115
125,115
126,116
127,117
128,117
129,118
130,117
131,117
132,117
133,116
134,116
135,116
136,117
137,117
138,117
139,117
140,118
141,117
142,117
143,116
144,116
145,116
146,116
147,116
148,116
149,115
150,115
151,115
152,114
153,114
154,114
155,114
156,114
157,114
158,115
159,115
160,114
161,114
162,113
163,113
164,113
165,113
166,113
167,114
168,115
169,115
170,116
171,116
172,116
173,117
174,118
175,119
176,119
177,119
178,119
179,119
180,118
181,118
182,118
183,117
184,117
185,117
186,117
187,117
188,117
189,118
190,119
191,120
192,120
193,121
194,121
195,121
196,121
197,121
198,120
199,119
200,118
201,118
202,117
203,117
204,117
205,117
206,118
207,118
208,118
209,120
210,122
211,123
212,124
213,126
214,127
215,127
216,127
217,127
218,127
219,126
220,125
221,125
222,125
223,125
224,125
225,125
226,126
227,127
228,128
229,128
230,129
231,129
232,129
233,129
234,129
235,128
236,128
237,127
238,127
239,128
240,128
241,130
242,130
243,131
244,131
245,131
246,132
247,132
248,131
249,131
250,131
251,131
252,131
253,131
254,131
255,131
256,131
257,131
258,131
259,132
260,132
261,135
262,136
263,136
264,137
265,137
266,138
267,138
268,138
269,139
270,140
271,141
272,141
273,142
274,141
275,141
276,141
277,141
278,140
279,141
280,142
281,142
282,143
283,143
284,143
285,143
286,142
287,142
288,142
289,141
290,142
291,142
292,142
293,143
294,144
295,145
296,147
297,147
298,148
299,148
300,148
301,148
302,148
303,149
304,148
305,148
306,147
307,147
308,147
309,147
310,147
311,148
312,149
313,150
314,151
315,152
316,152
317,153
318,154
319,154
320,154
321,154
322,154
323,154
324,154
325,153
326,153
327,153
328,153
329,153
330,153
331,154
332,154
333,154
334,154
335,155
336,155
337,155
338,155
339,156
340,156
341,156
342,156
343,156
344,156
345,156
346,157
347,157
348,157
349,157
350,157
351,157
352,157
353,158
354,158
355,159
356,159
357,159
358,159
359,159
360,159
361,159
362,160
363,159
364,160
365,160
366,160
367,160
368,160
369,160
370,160
371,160
372,160
373,160
374,160
375,160
376,160
377,161
378,161
379,161
380,161
381,161
382,162
383,162
384,162
385,162
386,163
387,163
388,163
389,163
390,164
391,164
392,164
393,164
394,164
395,164
396,164
397,164
398,164
399,164
400,165
401,165
402,165
403,165
404,165
405,165
406,165
407,165
408,166
409,166
410,166
411,166
412,166
413,166
414,166
415,167
416,167
417,167
418,167
419,168
420,168
421,168
422,168
423,169
424,169
425,169
426,169
427,169
428,170
429,170
430,170
431,170
432,170
433,170
434,170
435,170
436,170
437,171
438,171
439,171
440,171
441,171
442,171
443,171
444,171
445,171
446,172
447,172
448,172
449,172
450,173
451,173
452,173
453,174
454,174
455,174
456,174
457,174
458,174
459,174
460,175
461,175
462,174
463,174
464,174
465,174
466,174
467,174
468,174
469,174
470,174
471,174
472,174
473,174
474,174
475,175
476,175
477,175
478,175
479,175
480,175
481,175
482,175
483,174
484,174
485,174
486,174
487,174
488,174
489,174
490,174
491,174
492,174
493,174
494,175
495,175
496,175
497,175
498,175
499,176
500,176
501,176
502,176
503,177
504,177
505,177
506,177
507,177
508,177
509,178
510,178
511,178
512,178
513,178
514,178
515,178
516,178
517,178
518,178
519,178
520,178
521,178
522,179
523,179
524,179
525,179
526,179
527,179
528,179
529,179
530,179
531,179
532,179
533,179
534,179
535,179
536,179
537,179
538,179
539,179
540,179
541,179
542,179
543,179
544,179
545,179
546,179
547,179
548,179
549,179
550,179
551,178
552,178
553,178
554,178
555,178
556,178
557,178
558,178
559,178
560,178
561,178
562,178
563,178
564,178
565,177
566,177
567,177
568,177
569,177
570,177
571,177
572,177
573,177
574,177
575,178
576,178
577,178
578,178
579,179
580,179
581,179
582,179
583,179
584,180
585,180
586,180
587,180
588,180
589,180
590,180
591,180
592,180
593,180
594,180
595,180
596,180
597,180
598,180
599,180
600,180
601,180
602,181
603,181
604,181
605,181
606,181
607,181
608,181
609,181
610,181
611,181
612,181
613,181
614,181
615,181
616,181
617,181
