second,fc
1,73
2,73
3,76
4,76
5,79
6,79
7,82
8,82
9,84
10,84
11,84
12,86
13,87
14,88
15,89
16,89
17,92
18,93
19,94
20,94
21,94
22,95
23,95
24,95
25,94
26,94
27,94
28,94
29,94
30,94
31,93
32,93
33,94
34,93
35,93
36,93
37,93
38,92
39,91
40,90
41,91
42,92
43,92
44,93
45,95
46,95
47,95
48,95
49,96
50,97
51,97
52,98
53,98
54,98
55,99
56,99
57,99
58,99
59,99
60,99
61,98
62,98
63,98
64,97
65,97
66,96
67,96
68,94
69,94
70,93
71,93
72,92
73,92
74,91
75,90
76,90
77,89
78,89
79,89
80,89
81,88
82,88
83,88
84,88
85,88
86,88
87,88
88,88
89,89
90,89
91,91
92,92
93,92
94,92
95,92
96,92
97,92
98,91
99,91
100,92
101,92
102,93
103,93
104,93
105,94
106,94
107,93
108,93
109,93
110,93
111,93
112,94
113,94
114,96
115,98
116,100
117,100
118,103
119,105
120,108
121,110
122,112
123,115
124,116
125,119
126,119
127,122
128,124
129,125
130,126
131,126
132,127
133,127
134,127
135,127
136,127
137,127
138,127
139,127
140,127
141,127
142,126
143,126
144,126
145,125
146,125
147,125
148,125
149,125
150,124
151,124
152,124
153,124
154,125
155,126
156,127
157,128
158,128
159,128
160,128
161,128
162,128
163,128
164,127
165,127
166,127
167,127
168,127
169,128
170,128
171,129
172,129
173,129
174,129
175,129
176,129
177,130
178,130
179,130
180,130
181,130
182,130
183,130
184,130
185,130
186,130
187,131
188,131
189,131
190,132
191,132
192,132
193,132
194,132
195,132
196,132
197,132
198,132
199,131
200,131
201,131
202,131
203,131
204,131
205,131
206,131
207,131
208,130
209,130
210,130
211,129
212,129
213,128
214,128
215,128
216,128
217,128
218,129
219,129
220,129
221,129
222,129
223,128
224,128
225,128
226,127
227,127
228,128
229,128
230,129
231,129
232,130
233,131
234,132
235,133
236,133
237,134
238,135
239,135
240,136
241,137
242,137
243,137
244,138
245,138
246,138
247,138
248,138
249,138
250,138
251,138
252,139
253,139
254,140
255,139
256,139
257,139
258,139
259,139
260,139
261,139
262,138
263,138
264,138
265,138
266,138
267,139
268,139
269,139
270,139
271,140
272,140
273,141
274,141
275,142
276,142
277,142
278,142
279,142
280,143
281,143
282,143
283,143
284,143
285,143
286,143
287,143
288,143
289,143
290,143
291,143
292,144
293,144
294,144
295,145
296,145
297,145
298,145
299,145
300,145
301,145
302,145
303,146
304,146
305,146
306,146
307,146
308,146
309,146
310,146
311,147
312,147
313,148
314,148
315,149
316,148
317,148
318,148
319,148
320,148
321,148
322,148
323,149
324,149
325,149
326,148
327,148
328,148
329,148
330,148
331,148
332,146
333,147
334,147
335,147
336,147
337,147
338,148
339,148
340,148
341,147
342,147
343,147
344,147
345,146
346,146
347,146
348,146
349,146
350,146
351,146
352,146
353,146
354,148
355,148
356,148
357,149
358,149
359,149
360,149
361,150
362,150
363,150
364,149
365,149
366,149
367,149
368,149
369,149
370,149
371,150
372,150
373,150
374,150
375,150
376,150
377,150
378,151
379,151
380,151
381,151
382,151
383,151
384,152
385,152
386,152
387,152
388,152
389,152
390,153
391,152
392,152
393,153
394,153
395,153
396,153
397,154
398,154
399,155
400,155
401,155
402,155
403,155
404,156
405,156
406,156
407,156
408,156
409,156
410,156
411,156
412,156
413,157
414,157
415,158
416,158
417,158
418,159
419,159
420,159
421,159
422,160
423,160
424,160
425,160
426,160
427,160
428,160
429,160
430,160
431,160
432,160
433,160
434,161
435,161
436,161
437,160
438,161
439,161
440,161
441,161
442,161
443,161
444,161
445,161
446,161
447,161
448,161
449,161
450,161
451,161
452,161
453,162
454,162
455,162
456,162
457,162
458,161
459,161
460,161
461,160
462,160
463,159
464,159
465,159
466,159
467,159
468,159
469,159
470,159
471,160
472,160
473,160
474,160
475,160
476,161
477,161
478,161
479,162
480,162
481,162
482,162
483,162
484,162
485,162
486,162
487,162
488,162
489,162
490,161
491,161
492,161
493,161
494,161
495,161
496,161
497,162
498,162
499,162
500,162
501,161
502,161
503,161
504,161
505,161
506,162
507,162
508,162
509,162
510,162
511,162
512,162
513,162
514,163
515,163
516,163
517,163
518,163
519,163
520,163
521,163
522,163
523,164
524,164
525,164
526,164
527,164
528,164
529,164
530,164
531,164
532,164
533,164
534,164
535,164
536,164
537,164
538,164
539,165
540,165
541,165
542,165
543,165
544,165
545,165
546,165
547,165
548,165
549,165
550,165
551,165
552,165
553,165
554,165
555,165
556,165
557,165
558,165
559,166
560,166
561,166
562,166
563,167
564,167
565,167
566,167
567,168
568,168
569,168
570,169
571,170
572,170
573,170
574,170
575,170
576,171
577,171
578,171
579,171
580,172
581,172
582,172
583,172
584,172
585,172
586,172
587,172
588,171
589,172
590,172
591,172
592,172
593,172
594,172
595,172
596,172
597,172
598,172
599,172
600,173
601,173
602,173
603,173
604,173
605,173
606,173
607,174
608,174
609,174
610,174
611,174
612,174
613,174
614,175
615,175
616,175
617,175
618,175
619,175
620,175
621,175
622,176
623,176
624,176
625,176
626,176
627,176
628,176
629,176
630,176
631,176
632,176
633,176
634,176
635,176
636,176
637,176
638,176
639,176
640,176
641,176
642,177
643,176
644,177
645,177
646,177
647,177
648,177
649,177
650,177
651,177
652,177
653,177
654,177
655,177
656,177
657,177
658,177
659,177
660,177
661,178
662,178
663,178
664,178
665,178
666,178
667,178
668,178
669,178
670,178
671,178
672,179
673,179
674,179
675,179
676,179
677,179
678,179
679,179
680,179
681,179
682,179
683,179
684,179
685,179
686,179
687,179
688,179
689,179
690,180
691,180
692,180
693,180
694,179
695,180
696,180
697,179
698,180
699,180
700,180
701,180
702,180
703,180
704,180
705,180
706,180
707,180
708,180
709,180
710,180
711,180
712,180
713,180
714,180
715,180
716,180
717,180
718,181
719,181
720,181
721,182
722,182
723,182
724,182
725,182
726,182
727,182
728,182
729,182
730,182
731,181
732,181
733,181
734,182
735,182
736,182
737,179
738,180
739,181
740,181
741,182
742,182
743,182
744,182
745,182
746,182
747,182
748,182
749,183
750,183
751,183
752,184
753,184
754,182
755,182
756,182
757,183
758,183
759,183
760,183
761,181
762,181
763,181
764,181
765,181
766,182
767,182
768,183
769,183
770,184
771,184
772,184
773,184
774,184
775,184
776,184
777,184
778,184
779,184
780,184
781,184
782,183
783,183
784,183
785,184
786,184
787,184
788,185
789,185
