game,second,livetime,ingame,quarter,atdef,pospoints,negpoints,difference
4.0,2.0,1.0,BLJ,1Q,AT,0.0,0.0,0.0
4.0,3.0,2.0,BLJ,1Q,AT,0.0,0.0,0.0
4.0,4.0,3.0,BLJ,1Q,AT,0.0,0.0,0.0
4.0,5.0,4.0,BLJ,1Q,AT,0.0,0.0,0.0
4.0,6.0,5.0,BLJ,1Q,AT,0.0,0.0,0.0
4.0,7.0,6.0,BLJ,1Q,AT,0.0,0.0,0.0
4.0,8.0,7.0,BLJ,1Q,AT,0.0,0.0,0.0
4.0,9.0,8.0,BLJ,1Q,AT,0.0,0.0,0.0
4.0,10.0,9.0,BLJ,1Q,AT,0.0,0.0,0.0
4.0,11.0,10.0,BLJ,1Q,AT,0.0,0.0,0.0
4.0,12.0,11.0,BLJ,1Q,AT,0.0,0.0,0.0
4.0,13.0,12.0,BLJ,1Q,AT,0.0,0.0,0.0
4.0,14.0,13.0,BLJ,1Q,AT,0.0,0.0,0.0
4.0,15.0,,JP,1Q,,0.0,0.0,0.0
4.0,16.0,,JP,1Q,,0.0,0.0,0.0
4.0,17.0,,JP,1Q,,0.0,0.0,0.0
4.0,18.0,,JP,1Q,,0.0,0.0,0.0
4.0,19.0,,JP,1Q,,0.0,0.0,0.0
4.0,20.0,,JP,1Q,,0.0,0.0,0.0
4.0,21.0,,JP,1Q,,0.0,0.0,0.0
4.0,22.0,14.0,BLJ,1Q,DEF,0.0,0.0,0.0
4.0,23.0,15.0,BLJ,1Q,DEF,0.0,0.0,0.0
4.0,24.0,16.0,BLJ,1Q,DEF,0.0,0.0,0.0
4.0,25.0,17.0,BLJ,1Q,DEF,0.0,0.0,0.0
4.0,26.0,18.0,BLJ,1Q,DEF,0.0,0.0,0.0
4.0,27.0,19.0,BLJ,1Q,DEF,0.0,0.0,0.0
4.0,28.0,20.0,BLJ,1Q,DEF,0.0,0.0,0.0
4.0,29.0,21.0,BLJ,1Q,DEF,0.0,0.0,0.0
4.0,30.0,22.0,BLJ,1Q,DEF,0.0,0.0,0.0
4.0,31.0,23.0,BLJ,1Q,DEF,0.0,0.0,0.0
4.0,32.0,24.0,BLJ,1Q,DEF,0.0,0.0,0.0
4.0,33.0,25.0,BLJ,1Q,DEF,0.0,0.0,0.0
4.0,34.0,26.0,BLJ,1Q,DEF,0.0,0.0,0.0
4.0,35.0,27.0,BLJ,1Q,DEF,0.0,0.0,0.0
4.0,36.0,28.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,37.0,29.0,BLJ,1Q,,0.0,3.0,-3.0
4.0,38.0,30.0,BLJ,1Q,AT,0.0,3.0,-3.0
4.0,39.0,31.0,BLJ,1Q,AT,0.0,3.0,-3.0
4.0,40.0,32.0,BLJ,1Q,AT,0.0,3.0,-3.0
4.0,41.0,33.0,BLJ,1Q,AT,0.0,3.0,-3.0
4.0,42.0,34.0,BLJ,1Q,AT,0.0,3.0,-3.0
4.0,43.0,35.0,BLJ,1Q,AT,0.0,3.0,-3.0
4.0,44.0,,JP,1Q,,0.0,3.0,-3.0
4.0,45.0,,JP,1Q,,0.0,3.0,-3.0
4.0,46.0,,JP,1Q,,0.0,3.0,-3.0
4.0,47.0,,JP,1Q,,0.0,3.0,-3.0
4.0,48.0,36.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,49.0,37.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,50.0,38.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,51.0,39.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,52.0,40.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,53.0,41.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,54.0,42.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,55.0,43.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,56.0,44.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,57.0,45.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,58.0,46.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,59.0,47.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,60.0,48.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,61.0,49.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,62.0,50.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,63.0,51.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,64.0,52.0,BLJ,1Q,DEF,0.0,3.0,-3.0
4.0,65.0,53.0,BLJ,1Q,DEF,0.0,5.0,-5.0
4.0,66.0,54.0,BLJ,1Q,,0.0,5.0,-5.0
4.0,67.0,55.0,BLJ,1Q,,0.0,5.0,-5.0
4.0,68.0,56.0,BLJ,1Q,AT,0.0,5.0,-5.0
4.0,69.0,57.0,BLJ,1Q,AT,0.0,5.0,-5.0
4.0,70.0,58.0,BLJ,1Q,AT,0.0,5.0,-5.0
