second,fc
1,92
2,94
3,97
4,97
5,100
6,102
7,105
8,107
9,108
10,108
11,109
12,109
13,110
14,111
15,111
16,112
17,113
18,114
19,114
20,114
21,115
22,116
23,117
24,117
25,118
26,118
27,119
28,119
29,120
30,120
31,120
32,121
33,121
34,122
35,122
36,123
37,123
38,124
39,124
40,124
41,124
42,124
43,125
44,125
45,125
46,125
47,125
48,125
49,125
50,125
51,126
52,126
53,126
54,126
55,127
56,127
57,127
58,127
59,127
60,127
61,127
62,127
63,127
64,127
65,127
66,126
67,126
68,126
69,126
70,127
71,127
72,127
73,127
74,127
75,127
76,127
77,127
78,127
79,126
80,126
81,127
82,127
83,127
84,127
85,128
86,128
87,128
88,128
89,128
90,128
91,128
92,129
93,129
94,129
95,129
96,129
97,129
98,129
99,128
100,128
101,128
102,128
103,128
104,128
105,127
106,127
107,127
108,126
109,125
110,125
111,125
112,124
113,124
114,124
115,124
116,125
117,125
118,125
119,125
120,124
121,123
122,123
123,123
124,122
125,121
126,121
127,121
128,121
129,121
130,121
131,121
132,121
133,121
134,121
135,121
136,120
137,119
138,119
139,118
140,117
141,115
142,113
143,111
144,111
145,111
146,111
147,110
148,110
149,110
150,109
151,106
152,106
153,103
154,102
155,102
156,103
157,105
158,108
159,110
160,111
161,113
162,114
163,115
164,116
165,116
166,117
167,117
168,117
169,117
170,117
171,118
172,118
173,119
174,119
175,120
176,121
177,121
178,122
179,123
180,124
181,124
182,125
183,126
184,126
185,126
186,126
187,126
188,125
189,126
190,125
191,126
192,126
193,126
194,126
195,127
196,126
197,126
198,127
199,127
200,127
201,128
202,128
203,127
204,127
205,127
206,127
207,127
208,127
209,127
210,126
211,126
212,126
213,126
214,127
215,127
216,128
217,128
218,129
219,129
220,129
221,130
222,130
223,130
224,130
225,130
226,130
227,131
228,131
229,131
230,131
231,131
232,131
233,130
234,131
235,130
236,130
237,130
238,130
239,130
240,129
241,130
242,130
243,130
244,131
245,131
246,131
247,131
248,131
249,131
250,131
251,131
252,131
253,131
254,131
255,131
256,132
257,132
258,133
259,134
260,134
261,134
262,134
263,134
264,134
265,134
266,133
267,132
268,132
269,131
270,131
271,130
272,129
273,128
274,128
275,128
276,127
277,127
278,126
279,125
280,124
281,122
282,121
283,120
284,118
285,117
286,117
287,116
288,116
289,116
290,116
291,116
292,115
293,115
294,113
295,112
296,110
297,108
298,108
299,108
300,110
301,112
302,114
303,116
304,117
305,118
306,118
307,118
308,118
309,118
310,118
311,118
312,118
313,119
314,119
315,120
316,121
317,122
318,123
319,123
320,123
321,125
322,126
323,127
324,128
325,128
326,129
327,130
328,130
329,131
330,131
331,131
332,132
333,133
334,134
335,134
336,135
337,135
338,136
339,136
340,135
341,135
342,135
343,136
344,135
345,135
346,135
347,135
348,135
349,135
350,135
351,135
352,135
353,135
354,135
355,136
356,135
357,135
358,135
359,135
360,135
361,136
362,135
363,136
364,136
365,137
366,138
367,138
368,139
369,140
370,141
371,141
372,141
373,142
374,142
375,142
376,142
377,142
378,142
379,143
380,143
381,143
382,144
383,144
384,144
385,144
386,143
387,142
388,141
389,141
390,140
391,140
392,139
393,139
394,139
395,139
396,139
397,138
398,137
399,137
400,137
401,137
402,137
403,137
404,138
405,138
406,138
407,138
408,138
409,138
410,137
411,136
412,135
413,135
414,135
415,134
416,134
417,134
418,133
419,133
420,132
421,132
422,131
423,131
424,131
425,131
426,131
427,131
428,130
429,130
430,129
431,128
432,127
433,127
434,128
435,127
436,127
437,127
438,127
439,128
440,128
441,128
442,128
443,128
444,127
445,126
446,124
447,123
448,122
449,121
450,121
451,121
452,121
453,121
454,123
455,123
456,124
457,126
458,127
459,127
460,128
461,129
462,130
463,131
464,132
465,133
466,133
467,135
468,136
469,137
470,137
471,138
472,139
473,140
474,140
475,141
476,141
477,140
478,140
479,140
480,140
481,140
482,140
483,140
484,140
485,141
486,140
487,140
488,140
489,141
490,141
491,142
492,142
493,143
494,144
495,144
496,144
497,144
498,144
499,143
500,143
501,142
502,142
503,142
504,142
505,142
506,143
507,143
508,144
509,145
510,145
511,146
512,146
513,145
514,145
515,145
516,146
517,146
518,146
519,146
520,147
521,148
522,148
523,149
524,149
525,149
526,149
527,149
528,149
529,149
530,149
531,149
532,149
533,149
534,149
535,149
536,149
537,148
538,148
539,148
540,148
541,147
542,145
543,144
544,144
545,143
546,142
547,141
548,140
549,138
550,137
551,136
552,135
553,135
554,135
555,134
556,133
557,133
558,132
559,132
560,131
561,130
562,129
563,128
564,128
565,128
566,127
567,127
568,127
569,127
570,127
571,128
572,128
573,128
574,128
575,128
576,128
577,128
578,127
579,128
580,128
581,130
582,131
583,132
584,133
585,134
586,134
587,135
588,135
589,136
590,135
591,136
592,137
593,137
594,138
595,138
596,139
597,140
598,140
599,141
600,141
601,141
602,142
603,142
604,142
605,142
606,142
607,142
608,143
609,143
610,143
611,144
612,144
613,145
614,145
615,146
616,146
617,147
618,147
619,148
620,149
621,149
622,150
623,151
624,152
625,153
626,154
627,154
628,155
629,156
630,157
631,157
632,157
633,157
634,157
635,156
636,156
637,155
638,156
639,156
640,157
641,158
642,157
643,157
644,156
645,156
646,157
647,157
648,157
649,158
650,158
651,159
652,158
653,158
654,157
655,156
656,156
657,156
658,155
659,154
660,154
661,154
662,153
663,153
664,153
665,153
666,153
667,152
668,151
669,150
670,150
671,149
672,149
673,149
674,149
675,148
676,147
677,147
678,147
679,146
680,146
681,145
682,145
683,145
684,145
685,145
686,144
687,144
688,143
689,143
690,143
691,142
692,141
693,141
694,138
695,139
696,139
697,140
698,140
699,138
700,138
701,135
702,134
703,133
704,132
705,131
706,131
707,130
708,130
709,131
710,131
711,131
712,134
713,135
714,137
715,139
716,140
717,140
718,142
719,142
720,144
721,144
722,146
723,146
724,146
725,147
726,148
727,149
728,150
729,150
730,151
731,151
732,154
733,154
734,155
735,156
736,156
737,156
738,156
739,156
740,155
741,155
742,155
743,155
744,156
745,158
746,158
747,159
748,159
749,159
750,159
751,158
752,158
753,157
754,157
755,156
756,155
757,155
758,156
759,156
760,156
761,156
762,156
763,157
764,157
765,157
766,158
767,158
768,158
769,159
770,159
771,160
772,160
773,160
774,160
775,161
776,161
777,161
778,162
779,162
780,162
781,162
782,162
783,163
784,163
785,163
786,163
787,163
788,162
789,161
790,161
791,161
792,159
793,159
794,157
795,157
796,155
797,155
798,154
799,154
800,153
801,153
802,153
803,154
804,154
805,153
806,153
807,153
808,153
809,153
810,153
811,152
812,152
813,151
814,150
815,150
816,150
817,150
818,151
819,151
820,150
821,150
822,149
823,148
824,148
825,147
826,147
827,147
828,146
829,146
830,147
831,148
832,148
833,148
834,149
835,150
836,150
837,151
838,152
839,155
840,155
841,156
842,158
843,158
844,159
845,160
846,160
847,161
848,161
849,162
850,162
851,162
852,162
853,162
854,162
855,163
856,164
857,164
858,164
859,164
860,165
861,166
862,166
863,166
864,167
865,167
866,166
867,166
868,166
869,166
870,165
871,165
872,164
873,163
874,163
875,163
876,163
877,163
878,163
879,164
880,164
881,164
882,164
883,164
884,164
885,164
886,164
887,165
888,165
889,165
890,165
891,166
892,166
893,167
894,168
895,168
896,168
897,168
898,169
899,169
900,169
901,169
902,169
903,168
904,168
905,168
906,168
907,168
908,168
909,168
910,167
911,167
912,165
913,164
914,163
915,162
916,161
917,160
918,158
919,157
920,155
921,154
922,153
923,152
924,151
925,150
926,150
927,150
928,151
929,151
930,151
931,150
932,149
933,149
934,147
935,146
936,145
937,143
938,143
939,143
940,144
941,145
942,145
943,145
944,145
945,145
946,145
947,144
948,143
949,143
950,142
951,141
952,141
953,141
954,142
955,142
956,143
957,145
958,146
959,148
960,149
961,151
962,152
963,154
964,155
965,156
966,157
967,157
968,158
969,159
970,160
971,160
972,161
973,161
974,161
975,161
976,161
977,161
978,162
979,162
980,162
981,163
982,163
983,163
984,163
985,163
986,163
987,164
988,164
989,165
990,165
991,165
992,165
993,166
994,166
995,167
996,167
997,167
998,167
999,168
1000,168
1001,168
1002,169
1003,169
1004,169
1005,169
1006,169
1007,170
1008,170
1009,170
1010,170
1011,171
1012,171
1013,171
1014,171
1015,172
1016,172
1017,172
1018,173
1019,173
1020,173
1021,173
1022,174
1023,174
1024,174
1025,173
1026,173
1027,172
1028,172
1029,171
1030,171
1031,170
1032,170
1033,169
1034,169
1035,168
1036,166
1037,166
1038,165
1039,164
1040,164
1041,164
1042,163
1043,162
1044,161
1045,161
1046,160
1047,159
1048,158
1049,156
1050,153
1051,151
1052,149
1053,149
1054,149
1055,149
1056,149
1057,149
1058,150
1059,150
1060,150
1061,150
1062,150
1063,150
1064,153
1065,153
1066,154
1067,155
1068,155
1069,156
1070,156
1071,157
1072,158
1073,159
1074,159
1075,159
1076,161
1077,161
1078,161
1079,162
1080,163
1081,163
1082,164
1083,165
1084,166
1085,167
1086,167
1087,168
1088,169
1089,169
1090,170
1091,171
1092,171
1093,172
1094,172
1095,172
1096,172
1097,173
1098,173
1099,173
1100,173
1101,173
1102,173
1103,173
1104,173
1105,173
1106,175
1107,176
1108,176
1109,176
1110,176
1111,176
1112,176
1113,173
1114,171
1115,172
1116,173
1117,174
1118,175
1119,175
1120,176
1121,177
1122,177
1123,178
1124,178
1125,178
1126,179
1127,179
1128,179
1129,179
1130,180
1131,180
1132,180
1133,180
1134,180
1135,180
1136,179
1137,178
1138,178
1139,177
1140,176
1141,175
1142,174
1143,173
1144,172
1145,171
1146,170
1147,169
1148,168
1149,167
1150,167
1151,166
1152,166
1153,165
1154,165
1155,164
1156,164
1157,163
1158,163
