second,fc
1,97
2,99
3,101
4,102
5,103
6,104
7,106
8,107
9,108
10,108
11,108
12,108
13,107
14,106
15,106
16,106
17,106
18,106
19,106
20,106
21,107
22,109
23,110
24,112
25,114
26,115
27,117
28,118
29,119
30,121
31,122
32,123
33,124
34,126
35,126
36,126
37,127
38,127
39,127
40,127
41,126
42,125
43,124
44,124
45,125
46,126
47,126
48,127
49,128
50,129
51,130
52,130
53,132
54,133
55,134
56,134
57,135
58,135
59,135
60,135
61,135
62,133
63,132
64,131
65,131
66,132
67,132
68,133
69,133
70,134
71,135
72,136
73,137
74,138
75,140
76,141
77,142
78,143
79,143
80,143
81,143
82,143
83,141
84,140
85,140
86,140
87,140
88,140
89,141
90,141
91,141
92,142
93,142
94,143
95,144
96,145
97,145
98,145
99,145
100,145
101,145
102,144
103,144
104,144
105,143
106,142
107,142
108,142
109,143
110,143
111,144
112,145
113,146
114,146
115,147
116,149
117,150
118,151
119,151
120,151
121,151
122,152
123,152
124,152
125,151
126,150
127,150
128,150
129,151
130,151
131,151
132,151
133,151
134,152
135,152
136,152
137,153
138,154
139,154
140,155
141,154
142,154
143,154
144,153
145,153
146,152
147,152
148,153
149,152
150,153
151,153
152,153
153,153
154,153
155,153
156,154
157,155
158,155
159,155
160,155
161,155
162,154
163,154
164,154
165,153
166,153
167,151
168,151
169,151
170,151
171,152
172,152
173,151
174,152
175,152
176,152
177,153
178,153
179,154
180,154
181,154
182,155
183,155
184,155
185,154
186,154
187,152
188,151
189,150
190,151
191,151
192,151
193,152
194,151
195,152
196,153
197,154
198,154
199,155
200,155
201,156
202,155
203,155
204,155
205,154
206,154
207,152
208,151
209,151
210,151
211,150
212,150
213,150
214,151
215,152
216,152
217,153
218,153
219,154
220,154
221,154
222,155
223,154
224,154
225,154
226,154
227,154
228,154
229,154
230,154
231,154
232,152
233,152
234,154
235,154
236,155
237,156
238,157
239,158
240,159
241,158
242,158
243,157
244,157
245,156
246,156
247,155
248,154
249,154
250,155
251,155
252,156
253,157
254,157
255,157
256,158
257,158
258,159
259,159
260,160
261,161
262,161
263,161
264,159
265,159
266,159
267,159
268,159
269,158
270,158
271,158
272,157
273,158
274,158
275,159
276,159
277,159
278,159
279,160
280,160
281,160
282,160
283,160
284,161
285,161
286,161
287,160
288,159
289,159
290,159
291,160
292,160
293,160
294,160
295,160
296,160
297,160
298,161
299,162
300,162
301,163
302,163
303,163
304,163
305,162
306,162
307,161
308,159
309,159
310,159
311,159
312,159
313,159
314,159
315,160
316,160
317,160
318,161
319,161
320,161
321,162
322,162
323,163
324,163
325,163
326,163
327,163
328,162
329,162
330,162
331,161
332,161
333,161
334,161
335,160
336,160
337,160
338,161
339,161
340,161
341,162
342,161
343,161
344,161
345,161
346,161
347,160
348,159
349,157
350,158
351,158
352,158
353,158
354,159
355,159
356,159
357,160
358,161
359,162
360,162
361,163
362,163
363,164
364,164
365,164
366,164
367,164
368,162
369,161
370,161
371,161
372,161
373,161
374,162
375,162
376,162
377,163
378,163
379,164
380,164
381,164
382,164
383,164
384,164
385,164
386,163
387,161
388,160
389,160
390,160
391,160
392,160
393,160
394,160
395,160
396,161
397,161
398,159
399,160
400,161
401,161
402,162
403,163
404,164
405,164
406,164
407,164
408,163
409,163
410,163
411,162
412,162
413,162
414,162
415,162
416,162
417,162
418,163
419,163
420,163
421,164
422,164
423,164
424,163
425,163
426,163
427,163
428,163
429,163
430,163
431,163
432,164
433,164
434,165
435,165
436,165
437,166
438,166
439,167
440,167
441,167
442,167
443,168
444,167
445,168
446,167
447,167
448,167
449,167
450,167
451,167
452,167
453,167
454,167
455,167
456,167
457,167
458,167
459,167
460,167
461,167
462,167
463,166
464,166
465,166
466,165
467,165
468,165
469,166
470,166
471,166
472,166
473,165
474,166
475,166
476,167
477,167
478,167
479,168
480,168
481,168
482,168
483,168
484,168
485,168
486,168
487,168
488,167
489,167
490,167
491,167
492,167
493,167
494,167
495,167
496,167
497,167
498,167
499,168
500,167
501,168
502,168
503,168
504,167
505,167
506,166
507,166
508,166
509,166
510,166
511,166
512,166
513,166
514,166
515,167
516,167
517,167
518,167
519,168
520,168
521,167
522,167
523,167
524,167
525,166
526,166
527,166
528,166
529,166
530,166
531,166
532,166
533,166
534,166
535,166
536,166
537,166
538,166
539,167
540,167
541,167
542,166
543,166
544,167
545,165
546,165
547,165
548,165
549,165
550,165
551,165
552,165
553,166
554,167
555,168
556,168
557,169
558,170
559,170
560,171
561,171
562,172
563,172
564,172
565,172
566,172
567,172
568,172
569,172
570,172
571,172
572,172
573,172
574,169
575,170
576,170
577,171
578,171
579,171
580,172
581,172
582,172
583,171
584,171
585,171
586,171
587,171
588,171
589,171
590,171
591,171
592,171
593,173
594,173
595,174
596,174
597,174
598,174
599,174
600,174
601,174
602,174
603,174
604,173
605,173
606,173
607,173
608,173
609,173
610,173
611,173
612,173
613,173
614,173
615,173
616,174
617,174
618,174
619,174
620,174
621,173
622,173
623,173
624,173
625,172
626,172
627,172
628,172
629,173
630,173
631,173
632,173
633,173
634,173
635,173
636,173
637,173
638,173
639,172
640,172
641,172
642,171
643,171
644,170
645,170
646,170
647,170
648,170
649,170
650,170
651,171
652,171
653,171
654,171
655,171
656,172
657,172
658,172
659,172
660,172
661,172
662,171
663,171
664,171
665,171
666,171
667,171
668,171
669,171
670,172
671,172
672,172
673,173
674,173
675,173
676,173
677,173
678,173
679,173
680,173
681,172
682,172
683,172
684,172
685,172
686,172
687,172
688,172
689,173
690,173
691,174
692,174
693,174
694,174
695,175
696,174
697,174
698,174
699,173
700,173
701,173
702,173
703,173
704,172
705,172
706,172
707,172
708,172
709,173
710,173
711,174
712,174
713,174
714,174
715,174
716,174
717,174
718,173
719,173
720,172
721,172
722,172
723,172
724,172
725,172
726,172
727,172
728,173
729,173
730,173
731,173
732,171
733,171
734,171
735,171
736,171
737,171
738,171
739,171
740,171
741,171
742,171
743,173
744,173
745,173
746,173
747,173
748,173
749,173
750,174
751,174
752,171
753,171
754,172
755,172
756,172
757,172
758,169
759,169
760,169
761,169
762,169
763,170
764,170
765,170
766,170
767,171
768,171
769,171
770,172
771,172
772,172
773,173
774,173
775,173
776,172
777,172
778,172
779,172
780,172
781,172
782,172
783,172
784,172
785,170
786,171
787,171
788,171
789,171
790,171
791,171
792,171
793,171
794,171
795,170
796,169
797,169
798,169
799,169
800,169
801,169
802,169
803,170
804,170
805,171
806,171
807,171
808,171
809,172
810,172
811,172
812,172
813,172
814,171
815,171
816,171
817,171
818,171
819,169
820,169
821,169
822,168
823,170
824,171
825,172
826,172
827,173
828,174
829,174
830,174
831,175
832,174
833,174
834,174
835,174
836,174
837,174
838,174
839,174
840,174
841,174
842,174
843,176
844,176
845,176
846,176
847,176
848,176
849,176
850,176
851,176
852,176
853,175
854,175
855,175
856,175
857,175
858,175
859,175
860,175
861,176
862,176
863,176
864,176
865,176
866,176
867,176
868,176
869,176
870,176
871,176
872,176
873,175
874,173
875,173
876,173
877,173
878,173
879,174
880,175
881,175
882,176
883,176
884,176
885,176
886,176
887,176
888,176
889,176
890,176
891,176
892,175
893,175
894,175
895,176
896,176
897,176
898,176
899,177
900,177
901,177
902,177
903,177
904,178
905,178
906,178
907,178
908,179
909,178
910,178
911,177
912,177
913,177
914,177
915,177
916,177
917,177
918,177
919,177
920,177
921,177
922,177
923,177
924,177
925,177
926,177
927,177
928,177
929,177
930,175
931,175
932,176
933,175
934,175
935,175
936,175
937,176
938,176
939,179
940,178
941,178
942,177
943,177
944,177
945,177
946,176
947,176
948,176
949,176
950,176
951,175
952,175
953,175
954,175
955,175
956,175
957,176
958,176
959,176
960,176
961,176
962,176
963,176
964,176
965,175
966,175
967,176
968,176
969,176
970,176
971,176
